# MirrorFp 跨端向量（由 spike/mirror-fp-test.swift 生成，勿手改）
# 格式：序号|标签|编码hex|fp   —— fp = SHA256(编码)[0..8] 的小写 hex
# 安卓 `MirrorFpTest` 逐条比对；本表只许在末尾追加。
0|null|00|6e340b9cffb37a98
1|int 0|0130|44c808fd166dbb89
2|int -1|012d31|6a5d0dea228f8fad
3|int max|0139323233333732303336383534373735383037|e37ca04885110b97
4|int min|012d39323233333732303336383534373735383038|a5d92cfb1c06b9e0
5|real 0|020000000000000000|4322fd2bc0a137d1
6|real -0|020000000000000000|4322fd2bc0a137d1
7|real 1|02000000000000f03f|ea3d69b9666200b1
8|real -1.5|02000000000000f8bf|bb58f2eff9a9ac4c
9|real 0.1|029a9999999999b93f|7c2d405427146eaa
10|real pi|02182d4454fb210940|da9490c271358b69
11|text empty|03|084fed08b978af4d
12|text hello|0368656c6c6f|0b4d354d56ea9a98
13|text cjk|03e4b8ade6968720c2b720e7ac94e8bfb9|fa9be8822c64a753
14|text NUL|0300|9b4fb24edd6d1d88
15|blob empty|04|e52d9c508c502347
16|blob 00 1f ff|04001fff|5e34d9a9a93091fd
17|two text a,b|03611f0362|fc890294b5108773
18|one text a US b|03611f62|81e5e095eec98f74
19|two blob a,b|04611f0462|9e972b1ae57c542b
20|mixed row|0369642d311f01371f02000000000000d03f1f001f04dead|ae600e2c6769fdba
21|row document|0331313131313131312d313131312d343131312d383131312d3131313131313131313131311f03e9ab98e7ad89e695b0e5ada61f013431321f03323032362d30382d33305431303a30303a30305a1f01331f0138361f02000000000000d03f1f02000000000000f03f1f0200000000000000001f03e88083e7a0941f0131|b728e2aed6d179a6
22|row note|0332323232323232322d323232322d343232322d383232322d3232323232323232323232321f0331313131313131312d313131312d343131312d383131312d3131313131313131313131311f01321f0138361f029a9999999999b93f1f029a9999999999c93f1f02333333333333d33f1f029a9999999999d93f1f047b2277223a387d1f03323032362d30382d33305431313a30303a30305a1f03323032362d30382d33305431313a30303a30315a|cbdaa078c1217a46
23|row ink_layer|0333333333333333332d333333332d343333332d383333332d3333333333333333333333331f0331313131313131312d313131312d343131312d383131312d3131313131313131313131311f03e689b9e6b3a81f03626c75651f01311f01311f03323032362d30382d33305430393a30303a30305a|e72302fede25c90f
24|row scratch_pad|0334343434343434342d343434342d343434342d383434342d3434343434343434343434341f0331313131313131312d313131312d343131312d383131312d3131313131313131313131311f03e68ea8e5afbc1f0138361f02000000000000e03f1f02000000000000e03f1f0372676261283235352c3235352c3235352c312e30291f03646f74731f01301f03323032362d30382d33305431313a31303a30305a1f03323032362d30382d33305431313a32303a30305a|f106cc70f781ee96
25|row variant|0335353535353535352d353535352d343535352d383535352d3535353535353535353535351f0331313131313131312d313131312d343131312d383131312d3131313131313131313131311f036162633132331f013431321f03323032362d30382d33305431303a30303a30305a|c08a0fb25628bee7
26|row meta|03776f726b73706163655f6e616d651f03e88083e7a094|84a4a4c8bae2ae38
27|row board_note|0336363636363636362d363636362d343636362d383636362d3636363636363636363636361f03e69e81e99990e88d89e7a8bf1f0372676261283235322c3234372c3233352c312e30291f03677269641f031f03323032362d30392d32345430393a30303a30305a1f03323032362d30392d32345430393a33303a30305a|8919c0fed8d3b9f4
28|row board_item|0337373737373737372d373737372d343737372d383737372d3737373737373737373737371f0336363636363636362d363636362d343636362d383636362d3636363636363636363636361f01311f020000000000205ec01f0200000000002044401f020000000000c072401f0200000000000056401f047b227769647468223a327d1f03323032362d30392d32345430393a31303a30305a1f03323032362d30392d32345430393a31303a30305a|556ae27f204196f5
